name,category,price_range,neighborhood,info,ratings,ratings_histogram,Claimed?,HasWebsite,reviews,first_review,last_review,permanently_closed,AvgLast_compound,AvgLast_star,AvgLast_subjectivity,AvgReviewN,Last_compound_coef,Last_compound_intrcpt,Last_star_coef,Last_star_intrcpt,Last_subjectivity_coef,Last_subjectivity_intrcpt
One. Six One,American (New),$11-30,University Village,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Has TV': 'Yes'}]",3.0,"[{5: 16}, {4: 13}, {3: 11}, {2: 13}, {1: 15}]",1,1,68.0,2010-06-17,2011-08-08,1,,,,,,,,,,
One Sixtyblue,American (New),$31-60,"Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Trendy, Classy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}]",4.0,"[{5: 116}, {4: 100}, {3: 38}, {2: 17}, {1: 1}]",0,1,272.0,2005-07-11,2012-01-03,1,,,,,,,,,,
OON,Asian Fusion,$31-60,"West Loop, Near West Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 26}, {4: 18}, {3: 10}, {2: 3}, {1: 1}]",1,1,58.0,2013-07-01,2013-12-06,1,,,,,,,,,,
Opera,"Chinese,Asian Fusion",$31-60,Near Southside,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}]",3.5,"[{5: 51}, {4: 112}, {3: 70}, {2: 41}, {1: 15}]",0,0,289.0,2005-07-11,2013-11-20,1,,,,,,,,,,
Leon’s Bar-B-Q,Barbeque,,South Chicago,[{'Outdoor Seating': 'No'}],2.0,"[{5: 0}, {4: 0}, {3: 0}, {2: 1}, {1: 0}]",0,0,1.0,2011-04-24,2011-04-24,1,,,,,,,,,,
Ballo,Italian,$11-30,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}]",3.5,"[{5: 6}, {4: 20}, {3: 14}, {2: 5}, {1: 0}]",0,1,45.0,2005-08-29,2009-04-02,1,,,,,,,,,,
Osteria La Madia,"Pizza,Italian",$11-30,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 291}, {4: 434}, {3: 171}, {2: 75}, {1: 23}]",1,1,994.0,2007-10-06,2017-04-07,1,,,,,,,,,,
Otom,"American (New),Pubs",$31-60,"Fulton Market, Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}]",3.5,"[{5: 46}, {4: 63}, {3: 33}, {2: 23}, {1: 6}]",0,1,171.0,2007-07-27,2011-09-27,1,,,,,,,,,,
Houndstooth Saloon,"Bars,Burgers,American (Traditional)",$11-30,Lakeview,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Late Night'}, {'Parking': 'Street'}, {'Bike Parking': 'No'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Very Loud'}, {'Good For Dancing': 'Yes'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Drive-Thru': 'No'}, {'Caters': 'No'}, {'Has Pool Table': 'No'}]",3.0,"[{5: 29}, {4: 54}, {3: 53}, {2: 41}, {1: 55}]",1,1,232.0,2006-02-26,2017-08-12,0,,,,,,,,,,
The Palm Chicago,"Steakhouses,Seafood",$31-60,The Loop,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.5,"[{5: 49}, {4: 49}, {3: 44}, {2: 40}, {1: 13}]",1,1,195.0,2006-04-10,2017-08-08,0,,,,,,,,,,
Pane Caldo,Italian,Above $61,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",3.5,"[{5: 15}, {4: 16}, {3: 9}, {2: 8}, {1: 6}]",1,1,54.0,2005-10-31,2012-04-24,1,,,,,,,,,,
Papa Milano,Italian,$11-30,Near North Side,"[{'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Attire': 'Casual'}]",4.0,"[{5: 2}, {4: 7}, {3: 3}, {2: 0}, {1: 0}]",0,0,12.0,2005-08-24,2011-11-03,1,,,,,,,,,,
Papagus Greek Taverna,Restaurants,,Near North Side,[],3.0,"[{5: 0}, {4: 0}, {3: 2}, {2: 0}, {1: 0}]",0,1,2.0,2005-08-04,2006-11-19,1,,,,,,,,,,
A La Turka Turkish Kitchen,Middle Eastern,$11-30,Lakeview,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}]",3.5,"[{5: 17}, {4: 44}, {3: 28}, {2: 17}, {1: 7}]",1,1,113.0,2005-07-27,2013-07-15,1,,,,,,,,,,
Paris Club Bistro & Bar,French,$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Good For': 'Dinner'}, {'Parking': 'Valet, Street'}, {'Bike Parking': 'No'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'No'}, {'Dogs Allowed': 'No'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}]",3.5,"[{5: 47}, {4: 32}, {3: 17}, {2: 16}, {1: 13}]",1,1,125.0,2014-03-02,2016-07-01,1,,,,,,,,,,
The Parthenon,"Greek,Mediterranean",$11-30,"Greektown, Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'Yes'}, {'Parking': 'Valet'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",3.5,"[{5: 97}, {4: 156}, {3: 58}, {2: 47}, {1: 66}]",1,1,424.0,2005-10-12,2016-09-07,1,,,,,,,,,,
Penang Malaysian Cuisine & Sushi Bar,"Asian Fusion,Sushi Bars,Malaysian",$11-30,Chinatown,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}]",3.5,"[{5: 6}, {4: 26}, {3: 16}, {2: 5}, {1: 1}]",0,1,54.0,2005-08-27,2009-10-29,1,,,,,,,,,,
Perennial,American (New),$31-60,Lincoln Park,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 90}, {4: 127}, {3: 52}, {2: 17}, {1: 5}]",1,0,291.0,2008-05-24,2011-11-03,1,,,,,,,,,,
Phil & Lou’s,Restaurants,$11-30,"West Loop, Near West Side","[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'Yes'}]",3.0,"[{5: 1}, {4: 9}, {3: 5}, {2: 1}, {1: 3}]",0,0,19.0,2006-07-07,2009-05-20,1,,,,,,,,,,
Pierogi Factory,Fast Food,Under $10,Lakeview,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Outdoor Seating': 'No'}]",4.0,"[{5: 7}, {4: 9}, {3: 3}, {2: 0}, {1: 0}]",0,1,19.0,2006-12-03,2008-03-25,1,,,,,,,,,,
Pili Pili,Nightlife,,"River North, Near North Side",[],5.0,"[{5: 1}, {4: 0}, {3: 0}, {2: 0}, {1: 0}]",0,0,1.0,2005-06-29,2005-06-29,1,,,,,,,,,,
P J Clarke’s,"American (Traditional),Sports Bars",$11-30,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Garage, Street, Validated'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}, {'Has Pool Table': 'No'}]",3.5,"[{5: 31}, {4: 39}, {3: 44}, {2: 18}, {1: 11}]",1,1,143.0,2005-09-30,2016-01-03,1,,,,,,,,,,
Platiyo,Mexican,$11-30,Lakeview,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}]",2.5,"[{5: 1}, {4: 4}, {3: 8}, {2: 5}, {1: 6}]",0,1,24.0,2005-08-14,2008-05-31,1,,,,,,,,,,
Bangkok Thai Cuisine,Thai,$11-30,North Park,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Lunch, Dinner'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}]",4.5,"[{5: 38}, {4: 12}, {3: 3}, {2: 3}, {1: 4}]",1,1,60.0,2015-04-19,2017-08-02,0,,,,,,,,,,
Pierogi Street,"Polish,Food Trucks,American (New)",$11-30,"Humboldt Park, West Town","[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Bitcoin': 'No'}, {'Parking': 'Street'}, {'Bike Parking': 'No'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Dogs Allowed': 'No'}, {'Waiter Service': 'No'}, {'Caters': 'Yes'}]",4.5,"[{5: 27}, {4: 7}, {3: 3}, {2: 2}, {1: 1}]",1,1,40.0,2014-09-20,2015-11-11,1,,,,,,,,,,
Pork Shoppe,Barbeque,$11-30,Avondale,"[{'Takes Reservations': 'No'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Accepts Apple Pay': 'No'}, {'Parking': 'Street, Private Lot'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 199}, {4: 192}, {3: 71}, {2: 41}, {1: 21}]",1,1,524.0,2010-07-06,2016-07-15,1,,,,,,,,,,
Powerhouse,American (New),$31-60,"Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}]",3.0,"[{5: 4}, {4: 11}, {3: 10}, {2: 5}, {1: 5}]",1,1,35.0,2007-11-18,2009-03-26,1,,,,,,,,,,
Prairie Fire,American (New),$11-30,"Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Classy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Has TV': 'Yes'}]",3.5,"[{5: 27}, {4: 42}, {3: 32}, {2: 22}, {1: 5}]",0,1,128.0,2010-02-08,2012-12-13,1,,,,,,,,,,
Chase Bank,Banks & Credit Unions,,"Printer's Row, South Loop",[{'Has ATM': 'Yes'}],3.5,"[{5: 3}, {4: 3}, {3: 0}, {2: 0}, {1: 2}]",1,1,8.0,2008-05-26,2017-03-13,0,,,,,,,,,,
Province,"American (New),Latin American",$31-60,"West Loop, Near West Side","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Trendy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'Yes'}]",3.5,"[{5: 82}, {4: 113}, {3: 59}, {2: 44}, {1: 13}]",1,1,311.0,2008-10-17,2013-11-11,1,,,,,,,,,,
Real Tenochtitlan Restaurant & Bar,Mexican,$11-30,Logan Square,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",3.5,"[{5: 41}, {4: 53}, {3: 25}, {2: 29}, {1: 22}]",1,1,170.0,2008-08-03,2015-04-03,1,,,,,,,,,,
Red Light,Asian Fusion,$31-60,"Near West Side, West Loop","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Trendy, Intimate, Romantic, Classy'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Has TV': 'No'}]",3.5,"[{5: 42}, {4: 94}, {3: 72}, {2: 52}, {1: 20}]",0,1,280.0,2005-07-20,2011-04-23,1,,,,,,,,,,
The Red Lion Pub,"Pubs,British",$11-30,"Lincoln Park, DePaul","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Wheelchair Accessible': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Casual'}, {'Noise Level': 'Average'}, {'Music': 'Background'}, {'Good For Dancing': 'No'}, {'Alcohol': 'Full Bar'}, {'Happy Hour': 'Yes'}, {'Coat Check': 'No'}, {'Smoking': 'No'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Has Pool Table': 'No'}]",4.0,"[{5: 69}, {4: 27}, {3: 6}, {2: 4}, {1: 10}]",1,1,116.0,2014-07-16,2017-08-13,0,,,,,,,,,,
Republic Pan-Asian Restaurant & Lounge,"Chinese,Asian Fusion,Sushi Bars",$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Garage, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}]",3.0,"[{5: 2}, {4: 15}, {3: 16}, {2: 13}, {1: 5}]",1,0,51.0,2007-04-14,2012-09-01,1,,,,,,,,,,
Rhapsody,"American (New),Italian",$31-60,The Loop,"[{'Takes Reservations': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Dressy'}, {'Ambience': 'Classy, Upscale'}, {'Noise Level': 'Average'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}]",3.5,"[{5: 10}, {4: 38}, {3: 26}, {2: 13}, {1: 7}]",1,1,94.0,2005-07-30,2012-09-05,1,,,,,,,,,,
RIA,"Seafood,French",Above $61,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Good for Kids': 'No'}, {'Good for Groups': 'No'}, {'Attire': 'Dressy'}, {'Ambience': 'Intimate, Classy, Upscale'}, {'Noise Level': 'Quiet'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 40}, {4: 17}, {3: 7}, {2: 7}, {1: 2}]",1,0,73.0,2010-01-04,2013-12-08,1,,,,,,,,,,
Villa D’oro,"Italian,Pizza",$11-30,Jefferson Park,"[{'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}]",4.0,"[{5: 1}, {4: 2}, {3: 1}, {2: 0}, {1: 0}]",0,0,4.0,2005-09-10,2008-08-18,1,,,,,,,,,,
Rinconcito Sudamericano,Restaurants,$11-30,Bucktown,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}]",3.0,"[{5: 2}, {4: 8}, {3: 9}, {2: 3}, {1: 3}]",0,1,25.0,2005-09-14,2014-01-25,1,,,,,,,,,,
Rioja,Restaurants,,"Andersonville, Uptown",[],3.0,"[{5: 1}, {4: 2}, {3: 1}, {2: 1}, {1: 2}]",0,0,7.0,2005-08-02,2007-01-05,1,,,,,,,,,,
Ripasso,"Italian,Beer, Wine & Spirits,Irish",$31-60,"West Town, Wicker Park","[{'Takes Reservations': 'Yes'}, {'Delivery': 'Yes'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Intimate, Romantic'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'No'}, {'Caters': 'No'}]",4.0,"[{5: 41}, {4: 22}, {3: 6}, {2: 12}, {1: 4}]",1,1,85.0,2011-10-28,2013-12-03,1,,,,,,,,,,
Ristorante We,Mediterranean,$31-60,The Loop,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'No'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'No'}]",3.5,"[{5: 5}, {4: 7}, {3: 6}, {2: 3}, {1: 3}]",1,1,24.0,2007-05-17,2010-09-07,1,,,,,,,,,,
Riva,Seafood,$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Good For': 'Dinner'}, {'Parking': 'Garage'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'No'}, {'Has TV': 'Yes'}, {'Waiter Service': 'Yes'}, {'Caters': 'Yes'}]",3.0,"[{5: 92}, {4: 120}, {3: 115}, {2: 75}, {1: 60}]",1,1,462.0,2005-08-04,2017-08-24,0,,,,,,,,,,
Rockstar Dogs,Hot Dogs,Under $10,West Town,"[{'Takes Reservations': 'No'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'No'}, {'Parking': 'Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'No'}, {'Attire': 'Casual'}, {'Alcohol': 'No'}, {'Outdoor Seating': 'No'}]",3.0,"[{5: 3}, {4: 10}, {3: 20}, {2: 10}, {1: 9}]",0,1,52.0,2008-03-11,2009-07-06,1,,,,,,,,,,
Rose Angelis,Italian,$11-30,"DePaul, Lincoln Park","[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Street'}, {'Bike Parking': 'Yes'}, {'Good for Kids': 'No'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Romantic'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}, {'Caters': 'Yes'}]",4.0,"[{5: 281}, {4: 190}, {3: 45}, {2: 43}, {1: 39}]",1,1,598.0,2005-09-09,2017-01-26,1,,,,,,,,,,
Rosebud Trattoria,Italian,$31-60,Near North Side,"[{'Takes Reservations': 'Yes'}, {'Delivery': 'No'}, {'Take-out': 'Yes'}, {'Accepts Credit Cards': 'Yes'}, {'Parking': 'Valet, Street'}, {'Good for Kids': 'Yes'}, {'Good for Groups': 'Yes'}, {'Attire': 'Casual'}, {'Ambience': 'Classy'}, {'Noise Level': 'Average'}, {'Alcohol': 'Full Bar'}, {'Outdoor Seating': 'Yes'}, {'Wi-Fi': 'Free'}, {'Has TV': 'Yes'}]",3.5,"[{5: 17}, {4: 38}, {3: 16}, {2: 13}, {1: 7}]",1,1,91.0,2007-07-18,2013-04-29,1,,,,,,,,,,
