date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-15,5.0,My co-workers and I come here pretty often for lunch because... 1. Food is good.  2. It's affordable especially in the west loop area and you forget your lunch because you were rushing out the door and decided that an extra 5 mins of sleep was more important than getting up and preparing lunch.  3. It's close to the office and the portion size is more than enough.  Haven't had 1 issue here. Chicken quesadillas is what my girlfriend and I always get and split. A perfect mini lady lunch date.  And of course a cookie to top it all off! Definitely a place to check out.,0.9298,0.833,0.15,0.017,0.6791666666666667
2017-06-11,2.0,"The food is very good. The service is not at all pleasant. They never smile and seem they do not care to be there. After 5-6 years of coming here getting the same thing the sandwich was not up to par, I asked for more sauce and they decided to charge me. I told the register gal I would show her they did not put extra on but it did not phase or waiver her decision to charge me more than all the times before.",-0.2786,0.914,0.025,0.061,0.4388095238095238
2017-06-04,4.0,This restaurant's menu has many choices. Cozy dining area is available for seating. Drinks are delicious.,0.5719,0.802,0.198,0.0,0.6625
2017-06-04,5.0,"Food always soooo good. I get the chicken sometimes and wait a little longer but it's always great. I get one of the popular shakes and I'm happy. The ginger ale they have is absolutely bonkers. This seems to be more than you would ususally pay but not really for the quality I believe.  I haven't had a bad experience there yet and have been there quite a few times eating inside.  They have a delivery car that I have seen as well.  Got the turkey burger, waffle fries, and a strawberry banana shake. Yes please! Pretty chill atmosphere inside.  I constantly forget the name of the place every time for some reason and always have to find it on map apps when I do. LoL. Hmmm what else, try it and you should be happy.  Blah blah blah end rant now I think.  -Jason",0.9879,0.669,0.25,0.082,0.6733333333333333
2017-05-29,5.0,The smoothies are the best in the city.i drive from very far to come get a smoothie here the staff is really friendly and is a great place in the Fulton market area.,0.9152,0.704,0.296,0.0,0.6375
2017-05-27,4.0,Mushroom chicken is my favorite. Parking could be hustle but I usually order for pick up. Fair price for delicious sandwiches.,0.875,0.63,0.37,0.0,0.82
2017-05-26,5.0,"Staple in the West loop, my go to after work to refuel. Pleasant service and fast, even at 2am and the place is filled with drunkards. Solid food, large menu",0.5994,0.851,0.149,0.0,0.599047619047619
2017-05-21,5.0,"I love jubilee juice it's great for quick takeout, everything In the area is so expensive so it's great to stop in here and get food to go!",0.9098,0.607,0.335,0.058,0.6599999999999999
2017-05-19,5.0,"The burgers are always nice and juicy. The waffle fries are fried to a nice crisp, not overly done like most other joints. The service is quick and explanations are thorough. Definitely a top burger spot when other food joints aren't working out.",0.79,0.747,0.21,0.044,0.5833333333333333
2017-05-17,5.0,Amazing cookies. Def go to place in Chicago. Will def be back once I'm in town. Open late what else do you need!,0.6239,0.843,0.157,0.0,0.5
2017-05-16,5.0,"This place is great for smoothies and fresh squeezed juice ! The hours are great for late night munchies, because they also have sandwiches and desserts. And if you don't feel like leaving your house, they deliver. Good food, reasonable prices, and friendly staff.",0.9411,0.661,0.302,0.038,0.6142857142857144
2017-05-15,5.0,"Jubilee has been my go to spot for nourishment near down town Chicago for many seasons. Much like the atonement celebration of its namesake, this place is rooted in positive and steadfast vibrations. The menu is expansive, and the service is for real; Tina is the best! And after all, where else can you get 4am wheatgrass shots beyond the under-ground?",0.9117,0.819,0.181,0.0,0.4167929292929292
2017-05-09,5.0,"Juices, smoothies & food. I order fresh juice & Wheatgrass from here almost every other day. Friendly fast service.",0.6705,0.718,0.282,0.0,0.49375
2017-05-09,5.0,Best waffle fries in whole CHICAGO! Burgers are quite juicy but DO not forget the waffle fries. Waffle fries are better than chick-fil-a ones too;),0.829,0.716,0.284,0.0,0.55
2017-05-08,5.0,"Such a find. The perfect place for lunch.  I love their sandwiches, wraps, and juices!!!",0.8682,0.556,0.444,0.0,0.7000000000000001
2017-04-28,5.0,"I love this place, A variety of foods, and I love that sell Breakfast too! They're 24 hour convenient and You guys should definitely try their Smoothies!",0.9133,0.643,0.357,0.0,0.5666666666666667
