date,star,text,compound,neutral,positive,negative,subjectivity
2009-08-31,3.0,"Have eaten  at this subterranean restaurant twice with great service! The maki are good, as are the apps, but I would not say that anything brilliant happens in the kitchen or sushi bar. I'd like to see Hatsuhana offer some freshly made, customised desserts.",0.9223,0.747,0.253,0.0,0.7125
2009-06-06,4.0,"While the prices aren't great, I would count them as reasonable.  And the staff is wonderfully friendly and efficient.  Also, the portions are better than I've seen at many other places.  Worth a try!",0.8933,0.587,0.339,0.074,0.47500000000000003
2005-09-13,4.0,a pretty good sushi place.. its reasonably priced and the service is fast,0.7269,0.621,0.379,0.0,0.7000000000000001
